"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1","00001.HK",1.00144982506442,0.00272203694244057,0.038141098580936,1.14596107561458e-295,0.778855136057895,8.38229980569165e-09,0.999278330500521,2006-02-01
"2","00010.HK",0.997499767759538,-0.00292395170837639,0.0440786016660591,1.31858480509264e-283,0.0715326297441557,0.91412701671777,0.999028545265542,2006-02-01
"3","01001.HK",1.00741059870472,0.00806735506033148,0.0894840486339203,5.0558259858041e-227,0.928112322721563,5.85373424306662e-07,0.996087331202653,2006-02-01
"4","01002.HK",1.00599521292066,0.00246073492871984,0.112367300033459,1.6571351485709e-208,0.903403006587815,0.000939357623244244,0.993827112358232,2006-02-01
"5","01003.HK",1.01581478615806,-0.0165691260780179,0.221052190116131,4.89279467892529e-155,0.664036642892704,1.39837481050045e-11,0.976960662400097,2006-02-01
"6","01005.HK",1.0127962550587,0.0173358373486132,0.103806232784901,1.88681220871773e-215,0.870659488668824,3.36121830072264e-11,0.99479737834717,2006-02-01
"7","01007.HK",1.07857954740066,0.00439956087753351,0.237354061685035,1.786664241961e-26,0.673803147712549,2.68016135005637e-08,0.95478398596648,2018-07-01
"8","01008.HK",1.00957061453656,0.00374297569900917,0.107169373519492,1.23050352762178e-126,0.61672803453521,3.73413580887544e-14,0.978941039727637,2009-03-01
"9","01009.HK",1.00892581713944,0.00257462334565212,0.165868927713619,2.08664602827828e-177,0.107917481849274,5.54900281416442e-11,0.986736296393034,2006-02-01
"10","00101.HK",0.997353148844033,-0.00174078956000938,0.0430238558825189,1.46871154070829e-285,0.0485610564791522,0.263453887603831,0.999074151534513,2006-02-01
"11","01010.HK",-1.42542011000671,-0.169434902029189,0.170120241354902,0.424351079729302,0.404730027308318,0.449850905957448,0.234097015963735,2021-03-01
"12","01011.HK",1.03507167905286,-0.00760010406406457,0.111861338315073,2.01621779559938e-107,0.0150661870850078,0.00617410152033543,0.980523152392691,2011-04-01
"13","01013.HK",0.993201197904446,-0.0211456501381179,0.138606656792349,1.45547515170291e-190,0.84706440447735,0.00012624564118451,0.990396075323709,2006-02-01
"14","00102.HK",0.994978596343934,-0.00541317853394383,0.15674117174758,7.89005927932772e-181,0.849768340810286,6.13290814610594e-12,0.987794505478012,2006-02-01
"15","01020.HK",1.00399660508309,-0.00975599948201047,0.148810715542147,4.67732125819525e-96,0.982543225285235,9.29822841808571e-08,0.961955975029009,2010-07-01
