Date, Open, High, Low, Close
12/31/21, 23553.79, 23590.12, 23394.77, 23397.67
12/30/21, 23130.45, 23248.26, 22990.24, 23112.01
12/29/21, 23253.98, 23253.98, 23008.28, 23086.54
12/28/21, 23282.35, 23319.44, 23099.48, 23280.56
12/24/21, 23375.99, 23383.19, 23186.57, 23223.76
12/23/21, 23141.79, 23264.75, 23027.15, 23193.64
12/22/21, 23221.13, 23258.71, 22979.76, 23102.33
12/21/21, 22795.57, 23100.18, 22730.08, 22971.33
12/20/21, 23079.83, 23145.30, 22665.25, 22744.86
12/17/21, 23463.78, 23463.78, 23158.70, 23192.63
12/16/21, 23287.93, 23526.05, 23155.62, 23475.50
12/15/21, 23658.04, 23745.75, 23325.92, 23420.76
12/14/21, 23693.73, 23817.58, 23560.13, 23635.95
12/13/21, 24242.26, 24385.44, 23936.93, 23954.58
12/10/21, 24070.56, 24214.68, 23916.63, 23995.72
12/09/21, 24168.41, 24324.84, 24153.72, 24254.86
12/08/21, 24090.02, 24097.98, 23907.30, 23996.87
12/07/21, 23704.51, 23989.78, 23512.50, 23983.66
12/06/21, 23420.44, 23628.30, 23314.97, 23349.38
12/03/21, 23675.26, 23802.77, 23451.93, 23766.69
12/02/21, 23524.05, 23807.00, 23517.52, 23788.93
12/01/21, 23595.57, 23864.30, 23537.65, 23658.92
11/30/21, 23782.86, 23888.37, 23175.37, 23475.26
11/29/21, 23910.49, 24134.32, 23774.31, 23852.24
11/26/21, 24502.68, 24502.68, 24062.26, 24080.52
11/25/21, 24699.69, 24762.61, 24532.82, 24740.16
11/24/21, 24672.10, 24851.53, 24557.63, 24685.50
11/23/21, 24688.99, 24794.72, 24618.74, 24651.58
11/22/21, 25057.06, 25099.95, 24869.94, 24951.34
11/19/21, 24934.40, 25077.15, 24825.43, 25049.97
11/18/21, 25369.88, 25414.21, 25222.60, 25319.72
11/17/21, 25667.81, 25667.81, 25520.67, 25650.08
11/16/21, 25446.65, 25746.71, 25410.87, 25713.78
11/15/21, 25437.99, 25483.26, 25230.33, 25390.91
11/12/21, 25522.83, 25527.13, 25210.56, 25327.97
11/11/21, 24856.11, 25324.66, 24836.21, 25247.99
11/10/21, 24787.44, 25013.11, 24481.26, 24996.14
11/09/21, 24952.82, 24956.37, 24678.66, 24813.13
11/08/21, 24743.54, 24837.77, 24633.57, 24763.77
11/05/21, 24950.68, 25049.37, 24724.39, 24870.51
11/04/21, 25141.10, 25244.98, 25010.36, 25225.19
11/03/21, 25060.93, 25187.09, 24808.59, 25024.75
11/02/21, 25609.01, 25639.66, 25030.69, 25099.67
11/01/21, 25268.35, 25270.41, 24972.50, 25154.32
10/29/21, 25466.86, 25516.22, 25314.24, 25377.24
10/28/21, 25648.42, 25736.38, 25473.16, 25555.73
10/27/21, 25795.17, 25795.17, 25555.17, 25628.74
10/26/21, 26234.94, 26234.94, 25905.08, 26038.27
10/25/21, 26020.78, 26212.90, 25929.67, 26132.03
10/22/21, 26114.84, 26195.29, 25976.03, 26126.93
10/21/21, 26141.85, 26229.80, 25840.59, 26017.53
10/20/21, 26074.20, 26214.63, 25915.62, 26136.02
10/19/21, 25471.25, 25808.62, 25458.03, 25787.21
10/18/21, 25425.32, 25425.32, 25123.25, 25409.75
10/15/21, 25187.05, 25330.96, 24929.56, 25330.96
10/12/21, 24995.95, 25188.78, 24865.80, 24962.59
10/11/21, 25161.80, 25437.16, 25161.80, 25325.09
10/08/21, 25064.80, 25064.80, 24595.58, 24837.85
10/07/21, 24339.32, 24741.28, 24310.11, 24701.73
10/06/21, 24259.20, 24259.20, 23812.35, 23966.49
10/05/21, 23771.65, 24180.08, 23681.44, 24104.15
10/04/21, 24478.68, 24478.68, 23908.05, 24036.37
09/30/21, 24494.26, 24660.68, 24346.75, 24575.64
09/29/21, 24276.71, 24694.46, 24045.99, 24663.50
09/28/21, 24323.00, 24679.46, 24232.98, 24500.39
09/27/21, 24131.42, 24509.00, 24131.42, 24208.78
09/24/21, 24487.24, 24636.64, 24095.79, 24192.16
09/23/21, 24614.14, 24827.46, 24313.68, 24510.98
09/21/21, 23867.16, 24284.87, 23771.46, 24221.54
09/20/21, 24640.43, 24640.43, 23871.84, 24099.14
09/17/21, 24589.17, 24920.76, 24424.74, 24920.76
09/16/21, 25042.03, 25045.55, 24505.21, 24667.85
09/15/21, 25310.03, 25411.91, 24990.94, 25033.21
09/14/21, 25827.70, 25900.68, 25377.83, 25502.23
09/13/21, 25885.30, 25886.90, 25570.84, 25813.81
09/10/21, 25870.71, 26205.91, 25870.71, 26205.91
09/09/21, 26076.93, 26125.09, 25624.52, 25716.00
09/08/21, 26396.11, 26560.04, 26164.79, 26320.93
09/07/21, 26207.22, 26458.88, 26135.40, 26353.63
09/06/21, 25827.17, 26176.43, 25827.17, 26163.63
09/03/21, 26022.67, 26052.81, 25811.77, 25901.99
09/02/21, 26203.52, 26359.31, 25967.98, 26090.43
09/01/21, 25871.82, 26101.95, 25694.11, 26028.29
08/31/21, 25524.23, 25878.99, 25110.72, 25878.99
08/30/21, 25406.49, 25583.59, 25219.80, 25539.54
08/27/21, 25337.55, 25641.33, 25304.62, 25407.89
